ts,datetime_utc,equity,B&H BTC filtrado (OOS),B&H ETH (OOS)
1707321599999,2024-02-07 15:59,11500.11099212906687129269892,12661.23275234370016914905594,9278.223254960572241525192198
1707335999999,2024-02-07 19:59,11647.99987467741798868036108,12929.98355191359171589293324,9475.168696083259940045677401
1707350399999,2024-02-07 23:59,11663.11217798355168139154564,12957.44635727719494750851036,9495.293935991224448403436724
1707364799999,2024-02-08 03:59,11687.75052461884357729032514,13002.22034734470371811912054,9528.105124790590709111223325
1707379199999,2024-02-08 07:59,11651.67504571490186336693320,12936.66224971602440840644908,9480.062966488893332156027431
1707393599999,2024-02-08 11:59,11663.70020534954910134139718,12958.51494892558417831067290,9496.077019256125791141092729
1707407999999,2024-02-08 15:59,11747.72931595058041217518216,13111.21669548040525993969901,9607.979617810527668352135813
1707422399999,2024-02-08 19:59,11652.61588950049773528669567,12938.37199635344717768990913,9481.315899712735480536277039
1707436799999,2024-02-08 23:59,11646.79441857712327778316543,12927.79293903439379274850004,9473.563375390212187433482592
1707451199999,2024-02-09 03:59,11732.41120306634762248154956,13083.37988303986579754336499,9587.580298759847690036196888
1707465599999,2024-02-09 07:59,11746.93547900648389524288258,13109.77409675507979835677958,9606.922455402910855656300206
1707479999999,2024-02-09 11:59,11892.73686440554417180857178,13374.73139597318957575297989,9801.087950935198787458106592
1707494399999,2024-02-09 15:59,11869.59798755354569678191370,13332.68231460907334368788418,9770.273624461330950731342804
1707508799999,2024-02-09 19:59,11842.04890545656657213136908,13282.61879588203788060656946,9733.586173500703043472158980
1707523199999,2024-02-09 23:59,11843.81298755455883198092370,13285.82457082720557301305706,9735.935423295407071685126994
1707537599999,2024-02-10 03:59,11832.82250566129465594598730,13422.87144973312442339040205,9836.365852019004277789509608
1707551999999,2024-02-10 07:59,11832.82250566129465594598730,13402.42864171708709262400335,9769.803774502390145088749201
1707566399999,2024-02-10 11:59,11832.82250566129465594598730,13402.42864171708709262400335,9722.388082812613842323678112
1707580799999,2024-02-10 15:59,11832.82250566129465594598730,13402.42864171708709262400335,9751.166392797738187932536287
1707595199999,2024-02-10 19:59,11832.82250566129465594598730,13402.42864171708709262400335,9778.809232048755586571793256
1707609599999,2024-02-10 23:59,11832.82250566129465594598730,13402.42864171708709262400335,9789.498318614658914940797721
1707623999999,2024-02-11 03:59,11832.82250566129465594598730,13402.42864171708709262400335,9902.184000433962134889496810
1707638399999,2024-02-11 07:59,11832.82250566129465594598730,13402.42864171708709262400335,9896.310875947202064357076774
1707652799999,2024-02-11 11:59,11832.82250566129465594598730,13402.42864171708709262400335,9911.032841327347307825009664
1707667199999,2024-02-11 15:59,11832.82250566129465594598730,13402.42864171708709262400335,9823.562440637867324028833930
1707681599999,2024-02-11 19:59,11832.82250566129465594598730,13402.42864171708709262400335,9818.824786885214200466015101
1707695999999,2024-02-11 23:59,11832.82250566129465594598730,13402.42864171708709262400335,9816.788770396470709348109488
1707710399999,2024-02-12 03:59,11832.82250566129465594598730,13402.42864171708709262400335,9789.028468655718109298204119
1707724799999,2024-02-12 07:59,11832.82250566129465594598730,13402.42864171708709262400335,9795.253980611683784062569357
1707739199999,2024-02-12 11:59,11832.82250566129465594598730,13402.42864171708709262400335,9742.200089414617813586375033
1707753599999,2024-02-12 15:59,11832.82250566129465594598730,13402.42864171708709262400335,10015.14376139598082479637550
1707767999999,2024-02-12 19:59,11832.82250566129465594598730,13402.42864171708709262400335,10220.23326847364248778848315
1707782399999,2024-02-12 23:59,11832.82250566129465594598730,13402.42864171708709262400335,10414.98607645460642664353154
1707796799999,2024-02-13 03:59,11770.15679119812542744552415,13402.42864171708709262400335,10338.55714980023537544830548
1707811199999,2024-02-13 07:59,11791.93017028662082597317963,13423.74278008450077360506317,10370.54610117145522628155327
1707825599999,2024-02-13 11:59,11880.16965396104954632209919,13591.54687452623438136674219,10500.18553567587251650050486
1707839999999,2024-02-13 15:59,11744.89220934268645828491535,13334.29118639991611105617659,10301.43900304391172968341085
1707854399999,2024-02-13 19:59,11692.73737106094166646285688,13235.10888110771657303454994,10224.81430557331534280377078
1707868799999,2024-02-13 23:59,11768.87757186367282141207561,13379.90389706061083983464567,10336.67774996447215287793106
1707883199999,2024-02-14 03:59,11760.58929659253197815369023,13364.14217148785966133453024,10324.50080519525627330738019
1707897599999,2024-02-14 07:59,11803.68299792190414390548815,13446.09300830824119070651302,10387.81308716252983364686818
1707911999999,2024-02-14 11:59,12077.70243952277279465377899,13967.19288721186696992897864,10790.39619364831013507582024
1707926399999,2024-02-14 15:59,12060.45962891046370916125378,13934.40241632578975935156809,10765.06345002875169751264848
